rowNo,subjectGroup,type,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,block,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode,id,age,sex,handedness,fps_start,fps_M,fps_SD
108,3,test,cow_2,.png,cowA.mp3,3,400,700,,,,animate image,inanimate image,,,,,encoding,congruent,animate,cow,,700,42,16.67,400,24,16.67,231697,1,952,,913842135,,,,,,
272,3,test,train_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,control,inanimate,train,,700,42,16.67,401,24,16.73,256113,2,5844,,913842135,,,,,,
255,3,test,goose_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,incongruent,animate,goose,,700,42,16.67,400,24,16.67,259629,3,2827,,913842135,,,,,,
288,3,test,bicycle_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,congruent,inanimate,bicycle,,700,42,16.67,400,24,16.69,264335,3,4015,,913842135,,,,,,
257,3,test,saw_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,control,inanimate,saw,,700,42,16.67,400,24,16.67,267869,3,2832,,913842135,,,,,,
295,3,test,drill_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,incongruent,inanimate,drill,,700,42,16.67,400,24,16.67,270633,1,2063,,913842135,,,,,,
256,3,test,car_3,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,congruent,inanimate,car,,700,42,16.67,400,24,16.67,273023,3,1686,,913842135,,,,,,
296,3,test,pig_3,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,control,animate,pig,,700,42,16.67,400,24,16.67,276047,2,2327,,913842135,,,,,,
269,3,test,tiger_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,control,animate,tiger,,700,42,16.67,400,24,16.67,278149,1,1411,,913842135,,,,,,
300,3,test,boat_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,congruent,inanimate,boat,,700,42,16.67,400,24,16.67,280616,3,1762,,913842135,,,,,,
286,3,test,fish_4,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,animate,fish,,700,42,16.67,400,24,16.67,282816,4,1495,,913842135,,,,,,
279,3,test,cymbal_ride_2,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,congruent,inanimate,cymbal_ride,,700,42,16.68,400,24,16.67,286048,3,2542,,913842135,,,,,,
261,3,test,rhino_2,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,animate,rhino,,700,42,16.67,400,24,16.67,289244,2,2489,,913842135,,,,,,
313,3,test,tape_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,inanimate,tape,,700,42,16.67,400,24,16.67,291564,4,1627,,913842135,,,,,,
299,3,test,bell_5,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,congruent,inanimate,bell,,700,42,16.67,400,24,16.67,294133,2,1878,,913842135,,,,,,
303,3,test,drum_2,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,incongruent,inanimate,drum,,700,42,16.67,400,24,16.67,297350,2,2511,,913842135,,,,,,
302,3,test,rat_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,control,animate,rat,,700,42,16.67,400,24,16.67,300210,1,2171,,913842135,,,,,,
264,3,test,wrench_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,inanimate,wrench,,700,42,16.67,400,24,16.67,302424,4,1518,,913842135,,,,,,
258,3,test,cat_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,congruent,animate,cat,,700,42,16.67,400,24,16.67,305308,1,2185,,913842135,,,,,,
312,3,test,motorcycle_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,incongruent,inanimate,motorcycle,,700,42,16.67,400,24,16.67,308886,1,2879,,913842135,,,,,,
298,3,test,laptop_2,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,inanimate,laptop,,700,42,16.67,400,24,16.67,311168,4,1578,,913842135,,,,,,
260,3,test,frog_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,incongruent,animate,frog,,700,42,16.67,400,24,16.67,313984,3,2111,,913842135,,,,,,
265,3,test,whale_5,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,animate,whale,,700,42,16.67,400,24,16.67,316298,4,1625,,913842135,,,,,,
306,3,test,rabbit_2,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,animate,rabbit,,700,42,16.67,400,24,16.67,318352,4,1361,,913842135,,,,,,
304,3,test,wolf_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,control,animate,wolf,,700,42,16.67,400,24,16.67,321076,3,2019,,913842135,,,,,,
307,3,test,dog_2,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,incongruent,animate,dog,,700,42,16.67,400,24,16.67,323916,3,2142,,913842135,,,,,,
284,3,test,jet_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,incongruent,inanimate,jet,,700,42,16.67,400,24,16.67,326807,1,2199,,913842135,,,,,,
275,3,test,elephant_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,incongruent,animate,elephant,,700,42,16.67,400,24,16.67,328998,1,1490,,913842135,,,,,,
267,3,test,watering_can_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,inanimate,watering_can,,700,42,16.67,400,24,16.67,331152,4,1461,,913842135,,,,,,
308,3,test,salamander_3,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,animate,salamander,,700,42,16.67,400,24,16.67,333406,4,1565,,913842135,,,,,,
281,3,test,scissors_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,control,inanimate,scissors,,700,42,16.67,400,24,16.67,335753,3,1645,,913842135,,,,,,
278,3,test,bird_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,congruent,animate,bird,,700,42,16.67,400,24,16.67,338336,1,1894,,913842135,,,,,,
287,3,test,keyboard_2,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,incongruent,inanimate,keyboard,,700,42,16.67,400,24,16.67,341693,2,2667,,913842135,,,,,,
259,3,test,goat_3,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,incongruent,animate,goat,,700,42,16.67,400,24,16.67,343787,1,1394,,913842135,,,,,,
