browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration
Chrome,84.0.4147.105,2560,1440,MacOS,en-US,2020-08-07_20:27:19,2020-08-07_13:27:19,https://www.testable.org/experiment/4629/283054/start,0.86

rowNo,type,stim1,stimFormat,ITI,responseType,responseOptions,trialText,object_shown,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,responseCode
120,test,leopard_1,.png,"800",slider,0_10_1,How typical is this orientation?,leopard,801,48,"16.68",704142,"10",2159,10
121,test,leopard_2,.png,"800",slider,0_10_1,How typical is this orientation?,leopard,801,48,"16.68",708066,"10",3115,10
122,test,leopard_3,.png,"800",slider,0_10_1,How typical is this orientation?,leopard,801,48,"16.68",711110,"1",2237,1
123,test,leopard_4,.png,"800",slider,0_10_1,How typical is this orientation?,leopard,801,48,"16.68",719192,"10",7268,10
124,test,leopard_5,.png,"800",slider,0_10_1,How typical is this orientation?,leopard,801,48,"16.68",722493,"10",2493,10
125,test,bird_1,.png,"800",slider,0_10_1,How typical is this orientation?,bird,801,48,"16.68",725586,"10",2286,10
126,test,bird_2,.png,"800",slider,0_10_1,How typical is this orientation?,bird,801,48,"16.68",730224,"8",3820,8
127,test,bird_3,.png,"800",slider,0_10_1,How typical is this orientation?,bird,801,48,"16.68",733596,"7",2554,7
128,test,bird_4,.png,"800",slider,0_10_1,How typical is this orientation?,bird,801,48,"16.68",736335,"7",1925,7
129,test,bird_5,.png,"800",slider,0_10_1,How typical is this orientation?,bird,801,48,"16.68",740646,"9",3500,9
130,test,cymbal_ride_1,.png,"800",slider,0_10_1,How typical is this orientation?,cymbal_ride,801,48,"16.68",751332,"10",9866,10
131,test,cymbal_ride_2,.png,"800",slider,0_10_1,How typical is this orientation?,cymbal_ride,801,48,"16.68",755537,"8",3397,8
132,test,cymbal_ride_3,.png,"800",slider,0_10_1,How typical is this orientation?,cymbal_ride,801,48,"16.68",759480,"4",3135,4
133,test,cymbal_ride_4,.png,"800",slider,0_10_1,How typical is this orientation?,cymbal_ride,801,48,"16.68",763339,"7",3041,7
134,test,cymbal_ride_5,.png,"800",slider,0_10_1,How typical is this orientation?,cymbal_ride,801,48,"16.68",766135,"10",1984,10
135,test,chicken_1,.png,"800",slider,0_10_1,How typical is this orientation?,chicken,801,48,"16.68",772194,"10",5241,10
136,test,chicken_2,.png,"800",slider,0_10_1,How typical is this orientation?,chicken,801,48,"16.68",774678,"10",1671,10
137,test,chicken_3,.png,"800",slider,0_10_1,How typical is this orientation?,chicken,801,48,"16.68",777816,"1",2323,1
138,test,chicken_4,.png,"800",slider,0_10_1,How typical is this orientation?,chicken,801,48,"16.68",781830,"1",3202,1
139,test,chicken_5,.png,"800",slider,0_10_1,How typical is this orientation?,chicken,801,48,"16.68",784586,"8",1938,8
140,test,bus_1,.png,"800",slider,0_10_1,How typical is this orientation?,bus,801,48,"16.68",787357,"2",1955,2
141,test,bus_2,.png,"800",slider,0_10_1,How typical is this orientation?,bus,801,48,"16.68",790258,"2",2088,2
142,test,bus_3,.png,"800",slider,0_10_1,How typical is this orientation?,bus,801,48,"16.68",792781,"10",1707,10
143,test,bus_4,.png,"800",slider,0_10_1,How typical is this orientation?,bus,801,48,"16.68",796818,"10",3227,10
144,test,bus_5,.png,"800",slider,0_10_1,How typical is this orientation?,bus,801,48,"16.68",799813,"3",2185,3
145,test,walkie_1,.png,"800",slider,0_10_1,How typical is this orientation?,walkie,801,48,"16.68",803259,"10",2628,10
146,test,walkie_2,.png,"800",slider,0_10_1,How typical is this orientation?,walkie,801,48,"16.68",809635,"3",5553,3
147,test,walkie_3,.png,"800",slider,0_10_1,How typical is this orientation?,walkie,801,48,"16.68",812631,"2",2177,2
148,test,walkie_4,.png,"800",slider,0_10_1,How typical is this orientation?,walkie,799,48,"16.64",815049,"10",1609,10
149,test,walkie_5,.png,"800",slider,0_10_1,How typical is this orientation?,walkie,801,48,"16.68",818656,"4",2798,4
150,test,door_1,.png,"800",slider,0_10_1,How typical is this orientation?,door,801,48,"16.68",821619,"10",2139,10
151,test,door_2,.png,"800",slider,0_10_1,How typical is this orientation?,door,801,48,"16.68",825639,"8",3208,8
