subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration,id,age,sex,handedness,fps_start,fps_M,fps_SD
"3",Chrome,85.0.4183.83,1440,900,MacOS,en-US,2020-09-04_03:45:26,2020-09-03_20:45:26,https://www.testable.org/experiment/4629/578421/start,0.9,"913842135","21",female,left-handed,"60.00","58.97","0.89"

rowNo,subjectGroup,type,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,block,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode
2,"0",form,"","","","","","",dropdown,American Indian or Alaska Native;Asian;Black or African American;Native Hawaiian or Other Pacific Islander; White;More than one;Not Listed,With which race do you identify?,"","","","","","1","","","","","1",,"","","","","",79213,White,5972,"5"
3,"0",form,"","","","","","",dropdown,yes;no,Do you identify as Hispanic,"","","","","","1","","","","","1",,"","","","","",79213,no,5972,"2"
129,"3",test,boat_1,.png,boatA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,congruent,inanimate,boat,"",700,42,"16.67","400","24","16.67",182843,"2",1163,""
122,"3",test,goose_1,.png,staplerA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,incongruent,animate,goose,"",700,42,"16.68","400","24","16.67",185112,"1",1337,""
94,"3",test,smartphone_2,.png,noise11.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,control,inanimate,smartphone,"",700,42,"16.67","400","24","16.67",187195,"2",1156,""
125,"3",test,bell_5,.png,bellA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,congruent,inanimate,bell,"",700,42,"16.67","400","24","16.67",189745,"2",1635,""
110,"3",test,tiger_1,.png,noise2.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,control,animate,tiger,"",700,42,"16.67","400","24","16.67",191841,"1",1152,""
113,"3",test,guitar_3,.png,snakeA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,incongruent,inanimate,guitar,"",700,42,"16.67","400","24","16.67",193848,"2",1099,""
99,"3",test,train_1,.png,noise9.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,control,inanimate,train,"",700,42,"16.67","400","24","16.67",195796,"2",1000,""
126,"3",test,keyboard_2,.png,tigerA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,incongruent,inanimate,keyboard,"",700,42,"16.67","400","24","16.67",198359,"2",1555,""
97,"3",test,drum_2,.png,leopardA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,incongruent,inanimate,drum,"",700,42,"16.67","400","24","16.67",200513,"2",1237,""
101,"3",test,rat_1,.png,noise4.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,control,animate,rat,"",700,42,"16.67","400","24","16.67",202525,"1",1086,""
116,"3",test,penguin_1,.png,noise6.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,control,animate,penguin,"",700,42,"16.67","400","24","16.67",204706,"1",1272,""
115,"3",test,dog_2,.png,trainA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,incongruent,animate,dog,"",700,42,"16.67","400","24","16.67",206652,"1",1014,""
96,"3",test,wolf_1,.png,noise1.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,control,animate,wolf,"",700,42,"16.67","400","24","16.67",208663,"1",1087,""
121,"3",test,stapler_1,.png,noise10.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,control,inanimate,stapler,"",700,42,"16.67","400","24","16.67",210773,"2",1174,""
132,"3",test,cat_1,.png,catA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,congruent,animate,cat,"",700,42,"16.67","400","24","16.67",213097,"1",1412,""
128,"3",test,leopard_1,.png,noise7.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,control,animate,leopard,"",700,42,"16.67","400","24","16.67",215131,"1",1106,""
102,"3",test,chicken_1,.png,chickenA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,congruent,animate,chicken,"",700,42,"16.67","400","24","16.67",217185,"1",1123,""
103,"3",test,car_3,.png,carA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,congruent,inanimate,car,"",700,42,"16.67","400","24","16.67",219508,"2",1301,""
118,"3",test,deer_4,.png,washerA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,incongruent,animate,deer,"",700,42,"16.67","400","24","16.67",221585,"1",1124,""
92,"3",test,hammer_3,.png,ratA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,incongruent,inanimate,hammer,"",700,42,"16.67","400","24","16.67",223787,"2",1288,""
95,"3",test,motorcycle_1,.png,wolfA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,incongruent,inanimate,motorcycle,"",700,42,"16.67","400","24","16.67",225712,"2",998,""
107,"3",test,pig_3,.png,noise5.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,control,animate,pig,"",700,42,"16.67","400","24","16.67",227692,"1",1008,""
114,"3",test,goat_3,.png,sawA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,incongruent,animate,goat,"",700,42,"16.67","400","24","16.67",229826,"1",1206,""
108,"3",test,cow_2,.png,cowA.mp3,"3","400","700","","","",animate image,inanimate image,"","","","",encoding,congruent,animate,cow,"",700,42,"16.67","400","24","16.67",231697,"1",952,""
272,"3",test,train_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,control,inanimate,train,"",700,42,"16.67","401","24","16.73",256113,"2",5844,""
255,"3",test,goose_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,incongruent,animate,goose,"",700,42,"16.67","400","24","16.67",259629,"3",2827,""
288,"3",test,bicycle_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,congruent,inanimate,bicycle,"",700,42,"16.67","400","24","16.69",264335,"3",4015,""
257,"3",test,saw_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,control,inanimate,saw,"",700,42,"16.67","400","24","16.67",267869,"3",2832,""
295,"3",test,drill_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,incongruent,inanimate,drill,"",700,42,"16.67","400","24","16.67",270633,"1",2063,""
256,"3",test,car_3,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,congruent,inanimate,car,"",700,42,"16.67","400","24","16.67",273023,"3",1686,""
296,"3",test,pig_3,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,control,animate,pig,"",700,42,"16.67","400","24","16.67",276047,"2",2327,""
269,"3",test,tiger_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,control,animate,tiger,"",700,42,"16.67","400","24","16.67",278149,"1",1411,""
300,"3",test,boat_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,congruent,inanimate,boat,"",700,42,"16.67","400","24","16.67",280616,"3",1762,""
286,"3",test,fish_4,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,animate,fish,"",700,42,"16.67","400","24","16.67",282816,"4",1495,""
279,"3",test,cymbal_ride_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,congruent,inanimate,cymbal_ride,"",700,42,"16.68","400","24","16.67",286048,"3",2542,""
261,"3",test,rhino_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,animate,rhino,"",700,42,"16.67","400","24","16.67",289244,"2",2489,""
313,"3",test,tape_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,inanimate,tape,"",700,42,"16.67","400","24","16.67",291564,"4",1627,""
299,"3",test,bell_5,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,congruent,inanimate,bell,"",700,42,"16.67","400","24","16.67",294133,"2",1878,""
303,"3",test,drum_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,incongruent,inanimate,drum,"",700,42,"16.67","400","24","16.67",297350,"2",2511,""
302,"3",test,rat_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,control,animate,rat,"",700,42,"16.67","400","24","16.67",300210,"1",2171,""
264,"3",test,wrench_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,inanimate,wrench,"",700,42,"16.67","400","24","16.67",302424,"4",1518,""
258,"3",test,cat_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,congruent,animate,cat,"",700,42,"16.67","400","24","16.67",305308,"1",2185,""
312,"3",test,motorcycle_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,incongruent,inanimate,motorcycle,"",700,42,"16.67","400","24","16.67",308886,"1",2879,""
298,"3",test,laptop_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,inanimate,laptop,"",700,42,"16.67","400","24","16.67",311168,"4",1578,""
260,"3",test,frog_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,incongruent,animate,frog,"",700,42,"16.67","400","24","16.67",313984,"3",2111,""
265,"3",test,whale_5,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,animate,whale,"",700,42,"16.67","400","24","16.67",316298,"4",1625,""
306,"3",test,rabbit_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,animate,rabbit,"",700,42,"16.67","400","24","16.67",318352,"4",1361,""
304,"3",test,wolf_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,control,animate,wolf,"",700,42,"16.67","400","24","16.67",321076,"3",2019,""
307,"3",test,dog_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,incongruent,animate,dog,"",700,42,"16.67","400","24","16.67",323916,"3",2142,""
284,"3",test,jet_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,incongruent,inanimate,jet,"",700,42,"16.67","400","24","16.67",326807,"1",2199,""
275,"3",test,elephant_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,incongruent,animate,elephant,"",700,42,"16.67","400","24","16.67",328998,"1",1490,""
267,"3",test,watering_can_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,inanimate,watering_can,"",700,42,"16.67","400","24","16.67",331152,"4",1461,""
308,"3",test,salamander_3,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,animate,salamander,"",700,42,"16.67","400","24","16.67",333406,"4",1565,""
281,"3",test,scissors_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,control,inanimate,scissors,"",700,42,"16.67","400","24","16.67",335753,"3",1645,""
278,"3",test,bird_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,congruent,animate,bird,"",700,42,"16.67","400","24","16.67",338336,"1",1894,""
287,"3",test,keyboard_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,incongruent,inanimate,keyboard,"",700,42,"16.67","400","24","16.67",341693,"2",2667,""
259,"3",test,goat_3,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,incongruent,animate,goat,"",700,42,"16.67","400","24","16.67",343787,"1",1394,""
285,"3",test,bat_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,congruent,animate,bat,"",700,42,"16.67","400","24","16.67",346141,"2",1665,""
280,"3",test,crocodile_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,congruent,animate,crocodile,"",700,42,"16.67","400","24","16.67",348507,"3",1665,""
309,"3",test,guitar_3,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,incongruent,inanimate,guitar,"",700,42,"16.67","400","24","16.67",350910,"3",1701,""
268,"3",test,stapler_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,control,inanimate,stapler,"",700,42,"16.67","400","24","16.67",355575,"3",3966,""
289,"3",test,radio_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,inanimate,radio,"",700,42,"16.67","400","24","16.67",357556,"4",1280,""
282,"3",test,bear_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,congruent,animate,bear,"",700,42,"16.67","400","24","16.67",360697,"1",2437,""
305,"3",test,leopard_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,control,animate,leopard,"",700,42,"16.67","400","24","16.67",364484,"4",3091,""
311,"3",test,camera_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,congruent,inanimate,camera,"",701,42,"16.67","400","24","16.67",367633,"2",2456,""
290,"3",test,walkie_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,inanimate,walkie,"",700,42,"16.68","400","24","16.67",370091,"4",1764,""
274,"3",test,door_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,congruent,inanimate,door,"",700,42,"16.67","400","24","16.67",372964,"3",2170,""
271,"3",test,snake_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,control,animate,snake,"",700,42,"16.67","400","24","16.67",375511,"2",1847,""
293,"3",test,chicken_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,congruent,animate,chicken,"",700,42,"16.67","400","24","16.67",378314,"2",2102,""
310,"3",test,washer_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,control,inanimate,washer,"",700,42,"16.67","400","24","16.67",380933,"1",1922,""
266,"3",test,cow_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,congruent,animate,cow,"",700,42,"16.67","400","24","16.67",383188,"4",1559,""
263,"3",test,penguin_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,control,animate,penguin,"",700,42,"16.67","400","24","16.67",386642,"3",2763,""
291,"3",test,bus_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,inanimate,bus,"",700,42,"16.67","400","24","16.67",388793,"4",1448,""
294,"3",test,butterfly_4,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,animate,butterfly,"",700,42,"16.67","400","24","16.67",391287,"4",1792,""
276,"3",test,coins_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,inanimate,coins,"",700,42,"16.67","400","24","16.67",393369,"4",1391,""
277,"3",test,hammer_3,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,incongruent,inanimate,hammer,"",700,42,"16.67","400","24","16.67",395520,"2",1457,""
270,"3",test,horse_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,incongruent,animate,horse,"",700,42,"16.67","400","24","16.67",397701,"2",1489,""
283,"3",test,deer_4,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,incongruent,animate,deer,"",700,42,"16.67","400","24","16.67",401187,"4",2792,""
273,"3",test,piano_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,control,inanimate,piano,"",700,42,"16.67","400","24","16.67",404693,"3",2813,""
262,"3",test,crab_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,animate,crab,"",700,42,"16.67","400","24","16.67",406912,"4",1517,""
314,"3",test,camel_3,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,animate,camel,"",700,42,"16.67","400","24","16.67",410434,"4",2822,""
292,"3",test,record_player_1,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,inanimate,record_player,"",700,42,"16.67","400","24","16.67",413012,"4",1882,""
301,"3",test,smartphone_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,control,inanimate,smartphone,"",700,42,"16.67","400","24","16.67",416392,"2",2678,""
297,"3",test,shark_2,.png,"","6","400","700","","","",same,different,nonsense,new,"","",recognition,new,animate,shark,"",700,42,"16.67","400","24","16.67",420335,"2",3255,""
316,"0",test,1/10: Was the volume on your computer enabled throughout the entire first task?,word,"","","","","","","",Yes,No,"","","","","","","","","","",42,"16.67","","","",428098,"1",3394,""
317,"0",test,2/10: Did you adjust your volume at any time during the experiment?,word,"","","","","","","",Yes,No,"","","","","","","","","","",0,0,"","","",430384,"2",2271,""
318,"0",test,3/10: How would you describe the volume of the sounds during the first task?,word,"","","","","","","",Quiet,Loud,Just right,I did not hear sounds,"","","","","","","","",0,0,"","","",434295,"3",3897,""
319,"0",test,"4/10: Did you use external speakers, in-ear headphones, over-ear headphones?",word,"","","","","","","",External speakers,In-ear headphones,Over-ear headphones,Other,I did not hear sounds,"","","","","","","",0,0,"","","",437717,"2",3402,""
320,"0",test,5/10: How would you describe the environment in which you completed the study?,word,"","","","","","","",Quiet,Mostly quiet,Somewhat noisy,Very noisy,"","","","","","","","",0,0,"","","",441299,"2",3567,""
321,"0",test,6/10: Did you experience distractions during the study?,word,"","","","","","","","Yes, major distractions","Yes, minor distractions",No,"","","","","","","","","",0,0,"","","",443859,"3",2546,""
322,"0",test,7/10: How much effort did you put into the experiment?,word,"","","","","","","",Not any,Not very much,Some Effort,A lot of effort,"","","","","","","","",0,0,"","","",446719,"4",2847,""
323,"0",test,8/10: How difficult did you find task 1?,word,"","","","","","","",Not difficult at all,A little difficult,Very difficult,"","","","","","","","","",0,0,"","","",452371,"1",5639,""
324,"0",test,9/10: How difficult did you find task 2?,word,"","","","","","","",Not difficult at all,A little difficult,Very difficult,"","","","","","","","","",0,0,"","","",454566,"3",2182,""
325,"0",test,"10/10: In the first task, did you ever experience a lag or gap between when the picture was shown and when the sound started?",word,"","","","","","","","Yes, a couple of times","Yes, often or always",No,I did not hear sounds,"","","","","","","","",0,0,"","","",459200,"3",4620,""
